iter	RMSE
0	18.23997866
1	16.28269548
2	14.56070267
3	13.02300478
4	11.64889271
5	10.45039553
6	9.383355067
7	8.435782651
8	7.59555257
9	6.854968266
10	6.210669917
11	5.625200922
12	5.114794171
13	4.669171664
14	4.268477985
15	3.92081166
16	3.610458774
17	3.342874883
18	3.102275454
19	2.891664521
20	2.708913348
21	2.549486555
22	2.406072119
23	2.283898132
24	2.179423984
25	2.087293873
26	2.006824251
27	1.939524108
28	1.878923004
29	1.822139243
30	1.777623659
31	1.737353745
32	1.70019516
33	1.665373219
34	1.639545001
35	1.616093525
36	1.593005901
37	1.575537655
38	1.557896254
39	1.543658468
40	1.52771332
41	1.514352856
42	1.499134329
43	1.490232519
44	1.478902817
45	1.47034545
46	1.462927819
47	1.455412927
48	1.449554351
49	1.442465048
50	1.431599431
51	1.426501309
52	1.420187311
53	1.415680146
54	1.410222926
55	1.405121987
56	1.39931137
57	1.390744129
58	1.387047648
59	1.379719933
60	1.373494764
61	1.368560636
62	1.364716346
63	1.361853606
64	1.35704737
65	1.352716164
66	1.348134339
67	1.342199468
68	1.339822006
69	1.336777324
70	1.332052968
71	1.330814065
72	1.327880703
73	1.325389364
74	1.321320803
75	1.317572144
76	1.314759441
77	1.310300532
78	1.307877141
79	1.304526937
80	1.301333999
81	1.298369498
82	1.296766479
83	1.295774638
84	1.294131352
85	1.291738599
86	1.290296861
87	1.288293339
88	1.284547368
89	1.282981978
90	1.280696126
91	1.277448268
92	1.276104306
93	1.274279992
94	1.272790807
95	1.268903843
96	1.267957294
97	1.266021035
98	1.264024624
99	1.262027552
100	1.261276454
101	1.259925752
102	1.258463951
103	1.25631562
104	1.253983223
105	1.251868732
106	1.249315731
107	1.247992393
108	1.245233395
109	1.243390401
110	1.241296554
111	1.23918019
112	1.238531282
113	1.236454156
114	1.234345143
115	1.233736243
116	1.231278978
117	1.227552587
118	1.225724629
119	1.223946257
120	1.222892781
121	1.221018916
122	1.217222893
123	1.214497081
124	1.213404192
125	1.211735235
126	1.210474643
127	1.208936439
128	1.20682245
129	1.205314103
130	1.20434963
131	1.202498469
132	1.201206714
133	1.200044877
134	1.198725395
135	1.197542412
136	1.195495786
137	1.194345329
138	1.189334225
139	1.188347561
140	1.187268698
141	1.186118798
142	1.184231697
143	1.182930482
144	1.181835012
145	1.180418757
146	1.179478779
147	1.178417838
148	1.177742511
149	1.17591832
150	1.174599454
151	1.173812088
152	1.171388965
153	1.170614136
154	1.169667068
155	1.167926224
156	1.166684229
157	1.165787408
158	1.164617645
159	1.163774598
160	1.163090202
161	1.162259776
162	1.160025012
163	1.159311236
