iter	Passed	Remaining
0	217	216817
1	264	131903
2	306	101998
3	349	87043
4	395	78613
5	446	73896
6	493	70069
7	540	67070
8	589	64892
9	638	63207
10	690	62076
11	737	60713
12	784	59596
13	836	58913
14	888	58349
15	944	58062
16	1009	58357
17	1066	58207
18	1124	58034
19	1187	58185
20	1239	57785
21	1294	57555
22	1339	56910
23	1382	56217
24	1426	55641
25	1467	54973
26	1510	54448
27	1552	53882
28	1593	53362
29	1635	52871
30	1676	52389
31	1715	51889
32	1754	51407
33	1795	51023
34	1836	50622
35	1872	50128
36	1914	49826
37	1952	49435
38	1993	49123
39	2028	48690
40	2069	48409
41	2108	48091
42	2158	48049
43	2202	47864
44	2247	47698
45	2300	47702
46	2342	47501
47	2384	47299
48	2418	46936
49	2468	46899
50	2509	46702
51	2549	46474
52	2586	46223
53	2619	45897
54	2655	45622
55	2701	45545
56	2748	45475
57	2792	45354
58	2828	45117
59	2873	45019
60	2915	44884
61	2960	44785
62	3006	44709
63	3049	44605
64	3099	44581
65	3142	44473
66	3187	44387
67	3232	44306
68	3267	44093
69	3316	44060
70	3363	44004
71	3402	43855
72	3446	43771
73	3496	43750
74	3552	43811
75	3603	43807
76	3650	43752
77	3692	43651
78	3734	43541
79	3788	43563
80	3828	43440
81	3870	43333
82	3906	43162
83	3936	42929
84	3967	42710
85	4027	42807
86	4075	42769
87	4117	42669
88	4164	42628
89	4204	42516
90	4236	42316
91	4274	42188
92	4314	42074
93	4352	41955
94	4404	41962
95	4454	41946
96	4485	41756
97	4522	41627
98	4564	41542
99	4615	41540
100	4651	41401
101	4691	41306
102	4737	41256
103	4779	41175
104	4839	41252
105	4886	41208
106	4942	41252
107	4998	41281
108	5041	41210
109	5080	41108
110	5127	41066
111	5173	41021
112	5212	40913
113	5266	40933
114	5323	40968
115	5362	40866
116	5413	40853
117	5462	40827
118	5512	40810
119	5564	40802
120	5605	40717
121	5644	40623
122	5686	40548
123	5727	40461
124	5763	40343
125	5813	40324
126	5867	40336
127	5918	40319
128	5958	40233
129	5997	40136
130	6045	40101
131	6098	40103
132	6141	40036
133	6188	39995
134	6240	39986
135	6292	39977
136	6330	39879
137	6364	39754
138	6408	39698
139	6457	39669
140	6507	39646
141	6550	39577
142	6589	39488
143	6636	39447
144	6669	39326
145	6711	39256
146	6740	39115
147	6794	39112
148	6841	39073
149	6878	38975
150	6924	38933
151	6963	38849
152	7007	38790
153	7052	38745
154	7099	38701
155	7151	38691
156	7196	38640
157	7234	38552
158	7284	38530
159	7323	38446
160	7373	38423
161	7432	38444
162	7484	38433
163	7534	38405
164	7577	38347
165	7622	38296
166	7664	38228
167	7722	38243
168	7766	38191
169	7817	38166
170	7864	38127
171	7908	38069
172	7960	38053
173	8000	37980
174	8048	37942
175	8102	37935
176	8149	37893
177	8204	37889
178	8265	37910
179	8321	37908
180	8368	37864
181	8408	37792
182	8443	37697
183	8490	37654
184	8534	37596
185	8576	37533
186	8631	37527
187	8678	37483
188	8728	37455
189	8775	37411
190	8823	37373
191	8875	37352
192	8929	37337
193	8964	37243
194	9001	37158
195	9037	37070
196	9070	36972
197	9119	36937
198	9173	36924
199	9211	36844
200	9255	36791
201	9290	36703
202	9327	36621
203	9367	36552
204	9420	36532
205	9466	36486
206	9502	36403
207	9545	36348
208	9583	36269
209	9629	36226
210	9676	36185
211	9710	36092
212	9749	36023
213	9799	35993
214	9853	35977
215	9912	35978
216	9963	35951
217	10024	35958
218	10083	35959
219	10138	35945
220	10179	35883
221	10240	35886
222	10298	35883
223	10347	35847
224	10397	35813
225	10442	35763
226	10482	35697
227	10528	35648
228	10569	35587
229	10613	35531
230	10664	35500
231	10720	35489
232	10772	35460
233	10819	35416
234	10852	35329
235	10888	35250
236	10937	35211
237	10970	35124
238	11008	35053
239	11046	34981
240	11095	34942
241	11151	34930
242	11193	34870
243	11236	34815
244	11284	34773
245	11340	34760
246	11398	34749
247	11452	34728
248	11497	34677
249	11549	34649
250	11599	34614
251	11642	34558
252	11682	34492
253	11719	34420
254	11757	34351
255	11811	34328
256	11865	34303
257	11918	34278
258	11968	34240
259	12012	34189
260	12053	34128
261	12096	34074
262	12148	34044
263	12207	34032
264	12278	34056
265	12346	34069
266	12400	34042
267	12450	34005
268	12501	33971
269	12552	33939
270	12601	33899
271	12650	33858
272	12697	33812
273	12758	33806
274	12814	33782
275	12865	33749
276	12912	33702
277	12962	33666
278	13007	33614
279	13047	33549
280	13092	33500
281	13139	33454
282	13178	33388
283	13220	33331
284	13256	33258
285	13294	33190
286	13354	33175
287	13398	33123
288	13452	33095
289	13496	33042
290	13531	32969
291	13580	32928
292	13624	32874
293	13671	32829
294	13716	32779
295	13768	32747
296	13820	32713
297	13867	32667
298	13927	32653
299	13983	32629
300	14029	32580
301	14091	32569
302	14136	32519
303	14185	32477
